processorFamily,procesorName,cores,process,osName,osVersion
AMD64 Family 25 Model 80 Stepping 0,AMD Ryzen 9 5900HX with Radeon Graphics,8,KSecurityHealthSystray.exe,Microsoft Windows 11 Home,10.0.22000
AMD64 Family 25 Model 80 Stepping 0,AMD Ryzen 9 5900HX with Radeon Graphics,8,KEpicGamesLauncher.exe,Microsoft Windows 11 Home,10.0.22000
AMD64 Family 25 Model 80 Stepping 0,AMD Ryzen 9 5900HX with Radeon Graphics,8,Ksteam.exe,Microsoft Windows 11 Home,10.0.22000
AMD64 Family 25 Model 80 Stepping 0,AMD Ryzen 9 5900HX with Radeon Graphics,8,KEpicWebHelper.exe,Microsoft Windows 11 Home,10.0.22000
AMD64 Family 25 Model 80 Stepping 0,AMD Ryzen 9 5900HX with Radeon Graphics,8,KCPUMetricsServer.exe,Microsoft Windows 11 Home,10.0.22000
AMD64 Family 25 Model 80 Stepping 0,AMD Ryzen 9 5900HX with Radeon Graphics,8,KSystemSettings.exe,Microsoft Windows 11 Home,10.0.22000
AMD64 Family 25 Model 80 Stepping 0,AMD Ryzen 9 5900HX with Radeon Graphics,8,KApplicationFrameHost.exe,Microsoft Windows 11 Home,10.0.22000
AMD64 Family 25 Model 80 Stepping 0,AMD Ryzen 9 5900HX with Radeon Graphics,8,KMcUICnt.exe,Microsoft Windows 11 Home,10.0.22000
AMD64 Family 25 Model 80 Stepping 0,AMD Ryzen 9 5900HX with Radeon Graphics,8,Ksteamwebhelper.exe,Microsoft Windows 11 Home,10.0.22000
AMD64 Family 25 Model 80 Stepping 0,AMD Ryzen 9 5900HX with Radeon Graphics,8,Ksteamservice.exe,Microsoft Windows 11 Home,10.0.22000
AMD64 Family 25 Model 80 Stepping 0,AMD Ryzen 9 5900HX with Radeon Graphics,8,KXboxAppServices.exe,Microsoft Windows 11 Home,10.0.22000
AMD64 Family 25 Model 80 Stepping 0,AMD Ryzen 9 5900HX with Radeon Graphics,8,Kmsteams.exe,Microsoft Windows 11 Home,10.0.22000
AMD64 Family 25 Model 80 Stepping 0,AMD Ryzen 9 5900HX with Radeon Graphics,8,Kmsedgewebview2.exe,Microsoft Windows 11 Home,10.0.22000
AMD64 Family 25 Model 80 Stepping 0,AMD Ryzen 9 5900HX with Radeon Graphics,8,KCortana.exe,Microsoft Windows 11 Home,10.0.22000
AMD64 Family 25 Model 80 Stepping 0,AMD Ryzen 9 5900HX with Radeon Graphics,8,KGameBar.exe,Microsoft Windows 11 Home,10.0.22000
AMD64 Family 25 Model 80 Stepping 0,AMD Ryzen 9 5900HX with Radeon Graphics,8,KGameBarFTServer.exe,Microsoft Windows 11 Home,10.0.22000
AMD64 Family 25 Model 80 Stepping 0,AMD Ryzen 9 5900HX with Radeon Graphics,8,KAMDRSServ.exe,Microsoft Windows 11 Home,10.0.22000
AMD64 Family 25 Model 80 Stepping 0,AMD Ryzen 9 5900HX with Radeon Graphics,8,KAsusOSD.exe,Microsoft Windows 11 Home,10.0.22000
AMD64 Family 25 Model 80 Stepping 0,AMD Ryzen 9 5900HX with Radeon Graphics,8,KCode.exe,Microsoft Windows 11 Home,10.0.22000
AMD64 Family 25 Model 80 Stepping 0,AMD Ryzen 9 5900HX with Radeon Graphics,8,Kmsedge.exe,Microsoft Windows 11 Home,10.0.22000
AMD64 Family 25 Model 80 Stepping 0,AMD Ryzen 9 5900HX with Radeon Graphics,8,KWidgets.exe,Microsoft Windows 11 Home,10.0.22000
AMD64 Family 25 Model 80 Stepping 0,AMD Ryzen 9 5900HX with Radeon Graphics,8,Kpowershell.exe,Microsoft Windows 11 Home,10.0.22000
AMD64 Family 25 Model 80 Stepping 0,AMD Ryzen 9 5900HX with Radeon Graphics,8,KSDXHelper.exe,Microsoft Windows 11 Home,10.0.22000
AMD64 Family 25 Model 80 Stepping 0,AMD Ryzen 9 5900HX with Radeon Graphics,8,KSystemSettingsBroker.exe,Microsoft Windows 11 Home,10.0.22000
AMD64 Family 25 Model 80 Stepping 0,AMD Ryzen 9 5900HX with Radeon Graphics,8,Kbash.exe,Microsoft Windows 11 Home,10.0.22000
AMD64 Family 25 Model 80 Stepping 0,AMD Ryzen 9 5900HX with Radeon Graphics,8,Kcmd.exe,Microsoft Windows 11 Home,10.0.22000
AMD64 Family 25 Model 80 Stepping 0,AMD Ryzen 9 5900HX with Radeon Graphics,8,KMiniSearchHost.exe,Microsoft Windows 11 Home,10.0.22000
AMD64 Family 25 Model 80 Stepping 0,AMD Ryzen 9 5900HX with Radeon Graphics,8,bash.exe,Microsoft Windows 11 Home,10.0.22000
AMD64 Family 25 Model 80 Stepping 0,AMD Ryzen 9 5900HX with Radeon Graphics,8,Kmintty.exe,Microsoft Windows 11 Home,10.0.22000
AMD64 Family 25 Model 80 Stepping 0,AMD Ryzen 9 5900HX with Radeon Graphics,8,KWindowsTerminal.exe,Microsoft Windows 11 Home,10.0.22000
AMD64 Family 25 Model 80 Stepping 0,AMD Ryzen 9 5900HX with Radeon Graphics,8,KOpenConsole.exe,Microsoft Windows 11 Home,10.0.22000
AMD64 Family 25 Model 80 Stepping 0,AMD Ryzen 9 5900HX with Radeon Graphics,8,KSearchProtocolHost.exe,Microsoft Windows 11 Home,10.0.22000
AMD64 Family 25 Model 80 Stepping 0,AMD Ryzen 9 5900HX with Radeon Graphics,8,Ksmartscreen.exe,Microsoft Windows 11 Home,10.0.22000
AMD64 Family 25 Model 80 Stepping 0,AMD Ryzen 9 5900HX with Radeon Graphics,8,Kaudiodg.exe,Microsoft Windows 11 Home,10.0.22000
AMD64 Family 25 Model 80 Stepping 0,AMD Ryzen 9 5900HX with Radeon Graphics,8,KSearchFilterHost.exe,Microsoft Windows 11 Home,10.0.22000
AMD64 Family 25 Model 80 Stepping 0,AMD Ryzen 9 5900HX with Radeon Graphics,8,Knode.exe,Microsoft Windows 11 Home,10.0.22000
AMD64 Family 25 Model 80 Stepping 0,AMD Ryzen 9 5900HX with Radeon Graphics,8,Ktasklist.exe,Microsoft Windows 11 Home,10.0.22000
AMD64 Family 25 Model 80 Stepping 0,AMD Ryzen 9 5900HX with Radeon Graphics,8,Ktr.exe,Microsoft Windows 11 Home,10.0.22000
